Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Site,Trackable,Style,Opacity,Folder,Visible,Enabled,Cluster Threshold,Refresh
Airports,All Active Airports,transport,airport,airport,Airport,"{name} (T('Airport'))",name,~.obsolete=False,,,,,,False,,,
Demographics,For summary page,stats,demographic_data,,,{location_id}: {value},"location_id,value",,,,"[{'prop':'value','fillOpacity':0.5}]",0.5,,False,False,0,0
Heliports,All Active Heliports,transport,heliport,helicopter,Heliport,"{name} (T('Heliport'))",name,~.obsolete=False,,,,,,False,,,
Hospitals,All Active Medical Facilities,hms,hospital,hospital,Medical Facility,"{name} (T('Hospital'))",name,~.obsolete=False,,,,,,False,,,
Incident Reports,,event,incident_report,incident,Danger Area,"{name} (T('Incident'))<br />{incident_type_id}","name,incident_type_id",,,,,,,False,,,
Locations,Used by Location Details,gis,location,,,"{name}","name,gis_feature_type",~.level__ne=None&~.end_date=None,,,"[{'prop':'gis_feature_type','cat':1,'externalGraphic':'img/markers/marker_red.png'},{'prop':'gis_feature_type','cat':3,'fill':'00BFFF','fillOpacity':0.5},{'prop':'gis_feature_type','cat':6,'fill':'00BFFF','fillOpacity':0.5}]",0.9,,False,,0,0
Offices,All Active Offices,org,office,office,Building,"{name} (T('Office'))<br />{organisation_id}","name,organisation_id",~.obsolete=False,,,,,,False,,,
PoIs,,gis,poi,,,"{name} ({poi_type_id})","name,poi_type_id",,,,,,,,False,,
Projects,,project,location,project,,"{name} (T('Project'))<br />{location_id}<br />{multi_activity_type_id}","name,location_id,multi_activity_type_id",,,,,,,False,,,
Requests,All Open Requests,req,req,request,"Navaid, Red","{req_ref} (T('Request'))<br />{site_id}","req_ref,site_id",~.fulfil_status__ne=2,True,,,,,False,,,
Seaports,All Active Seaports,transport,seaport,port,Marina,"{name} (T('Seaport'))",name,~.obsolete=False,,,,,,False,,,
Shelters,All Active Shelters,cr,shelter,shelter,Campground,"{name} (T('Shelter'))<br />T('Population') {population}<br />T('Capacity') {capacity_day}","name,population,capacity_day",~.status__ne=1,,,,,,False,,,
Staff,All Active Staff,hrm,staff,staff,"Contact, Dreadlocks","{person_id} (T('Volunteer'))<br />{job_title_id}<br />{organisation_id}","person_id,job_title_id,organisation_id",~.status=1,,True,,,,False,,,
Stock Items,Used for Search Results,inv,inv_item,,,"{item_id} (T('Stock Item'))<br />{site_id}<br />{quantity} {item_pack_id}<br />T('Expires') {expiry_date}","item_id,site_id,quantity,item_pack_id,expiry_date",,,,,,,False,False,,
Training Events,Used for Search Results,hrm,training_event,,,"{course_id} (T('Training Event'))<br />{site_id}<br />{start_date}","course_id,site_id,start_date",,,,,,,False,False,,
Tweets,All Tweets,msg,twitter_result,twitter,,"{body}",body,,,,,,,False,,,
Vehicles,,vehicle,vehicle,vehicle,Car,"{number} (T('Vehicle'))<br />{person_id}","number,person_id",,,True,,,,False,,,
Volunteers,All Active Volunteers,vol,volunteer,volunteer,"Contact, Dreadlocks","{person_id} (T('Volunteer'))<br />{organisation_id}","person_id,organisation_id",~.status=1,,True,,,,False,,,
Warehouses,All Active Warehouses,inv,warehouse,warehouse,Building,"{name} (T('Warehouse'))<br />{organisation_id}","name,organisation_id",~.obsolete=False,,,,,,False,,,
